0
"POLYGON ((10.79275245 106.699113, 10.79275245 106.69996105, 10.792113 106.69996105, 10.792113 106.699113, 10.79275245 106.699113))"
"POLYGON ((10.77820225 106.6813688, 10.77820225 106.6844225, 10.7763695 106.6844225, 10.7763695 106.6813688, 10.77820225 106.6813688))"
"POLYGON ((10.7751717 106.6866237, 10.7751717 106.6883096, 10.77419805 106.6883096, 10.77419805 106.6866237, 10.7751717 106.6866237))"
"POLYGON ((10.78382615 106.69024205, 10.78382615 106.69146405, 10.7828352 106.69146405, 10.7828352 106.69024205, 10.78382615 106.69024205))"
"POLYGON ((10.78551995 106.68864165, 10.78551995 106.689677, 10.78449895 106.689677, 10.78449895 106.68864165, 10.78551995 106.68864165))"
"POLYGON ((10.7867142 106.69350635, 10.7867142 106.69479855, 10.78566845 106.69479855, 10.78566845 106.69350635, 10.7867142 106.69350635))"
"POLYGON ((10.7828959 106.69756105, 10.7828959 106.6984361, 10.7823564 106.6984361, 10.7823564 106.69756105, 10.7828959 106.69756105))"
"POLYGON ((10.78187335 106.69922465, 10.78187335 106.70017985, 10.78100095 106.70017985, 10.78100095 106.69922465, 10.78187335 106.69922465))"
"POLYGON ((10.7738767 106.68889585, 10.7738767 106.689811, 10.77337085 106.689811, 10.77337085 106.68889585, 10.7738767 106.68889585))"
"POLYGON ((10.7711522 106.68978595, 10.7711522 106.69300875, 10.7688295 106.69300875, 10.7688295 106.68978595, 10.7711522 106.68978595))"
"POLYGON ((10.7709463 106.69362725, 10.7709463 106.69458795, 10.7692754 106.69458795, 10.7692754 106.69362725, 10.7709463 106.69362725))"
"POLYGON ((10.77184975 106.6986693, 10.77184975 106.69925255, 10.7710395 106.69925255, 10.7710395 106.6986693, 10.77184975 106.6986693))"
"POLYGON ((10.76933465 106.70213595, 10.76933465 106.70557075, 10.76783985 106.70557075, 10.76783985 106.70213595, 10.76933465 106.70213595))"
"POLYGON ((10.77827505 106.70320685, 10.77827505 106.70402325, 10.7774878 106.70402325, 10.7774878 106.70320685, 10.77827505 106.70320685))"
"POLYGON ((10.7865923 106.70163005, 10.7865923 106.70358, 10.7847862 106.70358, 10.7847862 106.70163005, 10.7865923 106.70163005))"
"POLYGON ((10.7862223 106.680885, 10.7862223 106.6834043, 10.78476805 106.6834043, 10.78476805 106.680885, 10.7862223 106.680885))"
"POLYGON ((10.7870684 106.69028865, 10.7870684 106.6911679, 10.7861568 106.6911679, 10.7861568 106.69028865, 10.7870684 106.69028865))"
"POLYGON ((10.769164 106.69527025, 10.769164 106.6965275, 10.76800265 106.6965275, 10.76800265 106.69527025, 10.769164 106.69527025))"
"POLYGON ((10.79305075 106.69591745, 10.79305075 106.69596385, 10.7921198 106.69596385, 10.7921198 106.69591745, 10.79305075 106.69591745))"
"POLYGON ((10.7911746 106.687771, 10.7911746 106.69068485, 10.78885215 106.69068485, 10.78885215 106.687771, 10.7911746 106.687771))"
"POLYGON ((10.77612885 106.68208275, 10.77612885 106.68301305, 10.7753606 106.68301305, 10.7753606 106.68208275, 10.77612885 106.68208275))"
"POLYGON ((10.7842839 106.68465015, 10.7842839 106.6871574, 10.7827913 106.6871574, 10.7827913 106.68465015, 10.7842839 106.68465015))"
"POLYGON ((10.78308365 106.7052682, 10.78308365 106.70792875, 10.7750175 106.70792875, 10.7750175 106.7052682, 10.78308365 106.7052682))"
"POLYGON ((10.77500895 106.68102905, 10.77500895 106.6816741, 10.7744499 106.6816741, 10.7744499 106.68102905, 10.77500895 106.68102905))"
"POLYGON ((10.7888641 106.692236, 10.7888641 106.69284895, 10.7882228 106.69284895, 10.7882228 106.692236, 10.7888641 106.692236))"
